gene,DFS.HV.CTC.5,ZZY.HV.CTC24,ZZY.HV.CTC5,ZZY.HV.CTC6,ZZY.HV.CTC7,GRL.HV.CTC14,GRL.HV.CTC15,GRL.HV.CTC18,LYT.PA.CTC.7,GHM.PA.CTC1,GHM.PA.CTC2,GHM.PA.CTC4,GHM.PA.CTC6,GRL.PA.CTC1,GRL.PV.CTC4,JYQ.PV.CTC2,DFS.PoV.CTC.3,DFS.PoV.CTC.4,DFS.PoV.CTC.6,LYT.PoV.CTC.1,LYT.PoV.CTC.5,LYT.PoV.CTC.6,XDY.PoV.CTC1,XDY.PoV.CTC3,XDY.PoV.CTC4,XDY.PoV.CTC5,XDY.PoV.CTC6,ZZY.PoV.CTC1,GHM.PoV.CTC2,XYQ.HV.CTC.15,XYQ.HV.CTC.16,XYQ.HV.CTC.2,XYQ.HV.CTC.5,LYT.PV.CTC.6,LYT.PV.CTC.9,XYQ.PV.CTC.11,LYT.PV.CTC.4,XYQ.PV.CTC.6,LFG.PV.CTC2,LFG.PV.CTC4,XDY.HV.CTC6,XDY.HV.CTC8,JYQ.HV.CTC1,LFG.HV.CTC1,LFG.HV.CTC4,GRL.PA.CTC2,JYQ.PA.CTC3,DFS.PV.CTC.2,DFS.PV.CTC.3,DFS.PV.CTC.4,LYT.HV.CTC.12,LYT.HV.CTC.14,LYT.HV.CTC.2,LYT.HV.CTC.4,XYQ.HV.CTC.7,XYQ.HV.CTC.8,JYQ.HV.CTC4,HYL.HV.CTC.4,HYL.HV.CTC.5,HYL.HV.CTC.7,HYL.HV.CTC.8,LYT.HV.CTC.10,GRL.HV.CTC3,XDY.HV.CTC10,XDY.HV.CTC11,XDY.HV.CTC12,XDY.HV.CTC1,XDY.HV.CTC3,HYL.PV.CTC.5,HYL.PV.CTC.6,HYL.PV.CTC.7,LYT.PV.CTC.10,LYT.PV.CTC.12,LYT.PV.CTC.13,LYT.PV.CTC.14,LYT.PV.CTC.15,LYT.PV.CTC.16,LYT.PV.CTC.20,LYT.PV.CTC.21,LYT.PV.CTC.22,LYT.PV.CTC.25,LYT.PV.CTC.26,LYT.PoV.CTC.2,LYT.PoV.CTC.4,LYT.PA.CTC.1,LYT.PA.CTC.3,LYT.PA.CTC.5,LYT.PA.CTC.6,XDY.PV.CTC8,GRL.PV.CTC1,GRL.PV.CTC2,GRL.PV.CTC3,ZZY.HV.CTC14,ZZY.HV.CTC17,ZZY.HV.CTC19,ZZY.HV.CTC22,JYQ.HV.CTC6,HYL.HV.CTC.1,HYL.HV.CTC.2,HYL.HV.CTC.3,DFS.PV.CTC.6,DFS.PV.CTC.7,HYL.PV.CTC.1,HYL.PV.CTC.2,HYL.PV.CTC.4,LFG.PV.CTC5,LFG.PV.CTC7,XDY.PV.CTC11,XDY.PV.CTC2,XDY.PV.CTC3,GRL.PoV.CTC1,LYT.HV.CTC.7,ZZY.HV.CTC11
PTPRJ,8.268510142,7.507533464,7.74205403,7.526528836,7.51414281,8.560694663,8.409831313,8.303423266,8.771247338,8.86144475,8.643928319,8.283101875,8.659680523,8.455854224,8.950502405,8.957099426,8.391560073,8.15692308,8.259618046,8.422365523,8.989835108,8.69454174,8.795820521,8.179674609,8.542923006,8.478910221,8.88589224,8.448470949,7.965556064,8.816980628,8.80681628,8.708076959,8.954070543,8.528714613,7.99617962,8.796051151,8.811985927,8.437311761,8.929607457,8.90594316,7.69669075,8.726568146,9.072296453,7.775070277,9.340628389,8.534768834,8.044719145,7.853009503,8.039612714,8.764738182,8.977899438,8.642741306,8.55918982,8.592158313,8.800785883,8.698624666,8.64775164,8.360319065,8.478140593,8.073474923,8.527535507,8.475857697,8.658832269,8.785217997,8.346999908,8.82521852,8.546730116,7.608866669,8.70238308,8.577980393,8.542008129,8.313110881,8.502466806,8.547458774,8.486120198,8.546224501,8.431673179,8.816247196,8.583631175,8.474095951,8.38880859,8.779323329,8.887060769,8.740036521,8.897758799,8.811600452,8.825009715,8.739978463,8.7625531,8.427490236,8.969557033,8.70870728,7.45392131,7.666981294,7.59332577,7.415245785,8.685795468,8.558040085,8.476770961,8.479508338,8.732520519,8.231680047,8.559344933,8.321265375,8.687641264,8.959344949,8.934511632,8.8104724,8.674265722,8.460018379,8.242362312,8.719919111,7.111646549
SNORA4,7.099014393,7.825767542,7.665910143,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,8.008605346,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,8.20329205,7.099014393,8.483418457,7.099014393,7.099014393,7.099014393,7.816516165,7.099014393,7.099014393,8.417988569,7.099014393,7.099014393,7.099014393,7.622639865,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,8.157921381,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,8.527222608,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.804456226,8.042761237,7.737209037,8.163491466,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,8.366292345
SPAG1,7.099014393,7.600586964,7.584618479,7.305196458,7.144404483,7.099014393,7.80945888,7.117899938,7.099014393,7.099014393,7.162212332,7.340797121,7.099014393,7.099014393,7.099014393,7.815356214,7.099014393,7.099014393,7.163025184,7.155382158,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.194550998,7.568109499,7.310365875,7.894325183,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.735871767,7.143517598,7.099014393,7.676094137,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.386150731,7.099014393,7.613727019,7.176374471,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.428933764,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.867653293,7.099014393,7.099014393,7.099014393,7.41622084,7.845214397,7.799158242,7.762776954,7.099014393,7.099014393,7.099014393,7.247784919,7.877776815,7.099014393,7.099014393,7.201565253,7.099014393,7.099014393,7.099014393,7.099014393,7.559982752,7.696394366,7.099014393,7.099014393,7.153715254
ANGPTL3,7.099014393,8.391811351,8.318099653,8.42097333,8.190823077,8.4864081,7.797321779,8.444357513,8.108871327,7.667650925,8.945853574,8.329002545,8.748289545,8.684588389,7.099014393,7.187465116,8.272843859,8.025085828,7.099014393,7.764765124,7.099014393,8.097216203,8.78922962,8.023265316,8.02716933,8.659026549,9.058379444,8.087021994,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.241622946,7.099014393,7.670422612,7.099014393,8.378007607,8.389237998,7.099014393,7.90047602,8.774038997,7.29262069,7.099014393,7.099014393,7.31927152,8.676718932,7.175868334,7.099014393,7.856010124,8.786926685,8.353980819,7.099014393,8.353214073,7.099014393,7.099014393,8.006839515,7.422444541,7.74278113,7.231993742,7.306048204,7.099014393,7.099014393,8.617584113,8.058845356,9.05763079,8.765952046,7.500231004,7.099014393,7.404502536,7.426853814,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.675599486,8.371142729,7.869593545,8.029263882,7.692328211,8.162075848,7.099014393,7.099014393,7.099014393,7.099014393,8.37487059,8.053241132,8.091136191,8.188409997,8.052479138,7.581801131,7.329503665,7.508648993,7.099014393,7.396310103,7.351523772,7.569059857,7.574618262,7.099014393,8.497269599,7.099014393,7.099014393,7.099014393,8.251716281,8.285306693,7.982184688
EMG1,8.343447807,8.265273315,8.213468629,8.306606643,8.275864437,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.303033111,7.099014393,7.099014393,8.648338819,7.099014393,7.796230917,8.430156466,7.450841919,7.420902485,8.359065739,7.099014393,8.063562862,7.099014393,8.475569147,8.474840723,7.099014393,7.099014393,7.099014393,8.045505273,8.739961517,7.099014393,7.099014393,7.099014393,8.095378894,8.326218311,7.099014393,7.099014393,8.176370277,7.267662975,7.197925509,8.270220472,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,8.768922224,8.340828214,8.125412256,7.099014393,7.099014393,7.099014393,7.099014393,7.977935251,7.099014393,7.099014393,7.099014393,7.826337747,7.410306387,8.395555538,8.061318174,7.099014393,7.099014393,8.447558072,8.535468366,7.099014393,7.099014393,8.33601502,8.020509226,7.92553397,7.099014393,7.099014393,8.23776454,7.099014393,7.099014393,8.187879278,7.378967399,7.099014393,8.082114449,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.393017088,7.099014393,7.099014393,7.099014393,7.099014393,8.227059836,8.402123538,8.151552917,8.348999112,8.220186011,7.317848992,7.099014393,7.790101028,7.427697152,7.947574948,7.099014393,7.099014393,7.459750768,7.099014393,7.099014393,7.099014393,7.099014393,8.412106694,7.099014393,7.099014393,8.254732698
FLJ30403,7.867355068,7.14012713,7.181068269,7.14998816,7.254141729,7.533947468,7.677544158,7.252763806,7.252023343,7.45834671,7.851995165,7.424994088,7.451090411,7.42061341,8.072936236,7.969538172,7.902929859,7.949950458,7.921589984,7.31021043,7.260708508,7.430413952,8.379509996,7.147831346,7.540065089,7.543019364,7.405136548,7.445808067,7.253322511,8.065453332,7.926066137,7.727317596,7.557149995,7.665960778,7.64444377,7.661176363,7.278409836,8.081779875,7.750096357,7.754449443,7.415791644,7.49668256,7.099014393,7.231024921,7.766527876,7.163801554,7.356864251,7.546468056,7.689660492,7.299078916,7.853404345,7.450476661,7.399927956,7.782160172,7.951620932,7.241108583,7.184589831,7.910816926,7.574313097,7.44287329,7.23816432,7.580808132,7.987589841,8.064624668,7.544757797,7.167153688,7.501567582,7.304516259,7.442119242,7.957343499,7.636399743,7.851576611,7.591122494,7.802659848,7.586114642,7.747116022,8.084066272,7.381978501,7.466231714,7.527268272,7.63799468,7.815536615,7.755937345,7.645478218,8.103005106,7.574642365,7.410585293,7.98473165,7.527104119,7.099014393,7.924263107,8.06273708,7.162334694,7.158719056,7.156907482,7.161086949,7.208330274,7.247522496,7.978582896,7.49129328,7.545401429,7.487238836,7.468836976,7.632349549,7.738571889,7.099014393,7.2862766,7.914730533,7.953671393,7.776047595,7.399120839,7.800651047,7.121129093
RPL23,8.83903107,8.473365446,8.513738718,8.62070273,8.632076976,8.7753515,8.95592014,8.950312282,8.875757271,8.705147445,9.165468925,9.105980703,8.851473953,8.939909164,9.300871495,9.521944074,8.765279348,8.910894753,8.912180916,8.87746286,8.477030617,9.069382011,9.113121007,8.83208013,9.022374949,9.104059611,8.916952114,8.648762617,8.736257941,8.748664196,8.608540296,8.714145523,8.673788505,8.951225313,8.830844328,8.784573539,9.247169178,8.752393414,8.945320873,8.8664895,8.669751595,8.782065407,9.013871918,8.801650617,8.428262863,8.908839756,9.398773354,8.816790906,9.022506952,8.294356515,9.143651919,9.16957418,9.034420919,9.019599792,8.661053173,8.968557726,8.71031978,8.869247805,8.768444435,8.808563306,8.688283669,9.15237839,8.911713819,8.348579256,8.959076243,9.083680279,8.261677536,8.802010328,8.807608351,8.636563133,8.863590333,9.018735404,9.018302385,9.002110462,9.005307193,9.140598127,9.152794631,9.264751452,8.890257751,9.037958559,9.013019521,9.366482587,8.597207269,9.052184052,8.66557119,8.646227126,8.829428665,8.545736389,8.918400761,9.10266674,8.519282921,8.935549684,8.566825766,8.59785378,8.555437343,8.565134735,8.796516917,8.654190566,8.522753545,8.628327351,9.110831059,9.050848109,8.804344182,8.998809582,8.490115016,9.098185009,8.761162686,8.608941116,8.864658423,8.902937387,8.983334615,9.174742736,8.378013246
NET1,7.688741946,7.882434937,8.052467756,7.9420864,8.072929464,7.916666535,7.099014393,7.099014393,7.795775688,8.356375999,7.099014393,7.785128399,8.255162706,7.488681529,8.47568553,7.287850239,8.360661219,8.20325267,8.044656553,8.172386538,7.702250458,8.153276728,7.099014393,8.001819203,7.133183587,7.099014393,7.345241698,7.993571773,8.351277457,7.099014393,7.099014393,7.756766516,8.036428412,7.851648713,7.991901325,8.434084372,7.700917941,8.30772665,7.291254563,7.496658298,8.278312368,8.525792314,7.814968162,8.178572942,9.451029565,7.144858994,7.190787741,7.973107389,7.769715519,7.099014393,7.099014393,8.196806864,7.099014393,7.099014393,7.596781008,7.099014393,7.665989508,7.483720991,7.837087879,8.342492216,7.746530456,8.212148099,7.099014393,7.213742596,8.406099493,8.752565991,8.368257546,8.24224742,7.335944056,8.256877924,7.099014393,8.237410978,7.602474252,8.136822046,7.929526858,7.66118579,7.778818378,7.886337942,7.301669527,7.506746602,7.920839589,7.54296796,7.463826598,8.397450442,8.181514526,7.975775833,7.266558995,7.848294949,7.112542229,7.099014393,7.099014393,7.884396033,7.959638506,8.065187373,8.05852951,7.961872069,7.596588104,7.599457077,7.757230511,7.256886731,7.749876893,7.826247474,7.449187888,7.156782356,7.099014393,8.62638298,8.092282646,7.14435814,8.226528468,8.176548404,7.176042875,8.213795668,7.921946041
UGT2B4,7.099014393,8.547932564,8.595477169,8.647507988,8.82492546,7.784514502,7.099014393,7.797860552,8.043933581,7.207748267,7.099014393,8.565800771,8.745282798,7.099014393,7.099014393,7.099014393,7.169420685,7.189128224,7.211255331,7.151993524,8.46605408,7.383033629,7.125025463,7.099014393,7.099014393,7.099014393,7.099014393,8.085071941,7.213147606,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,8.382233548,7.099014393,7.099014393,7.099014393,7.41759751,7.099014393,7.176620784,7.5752989,7.50598034,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.597829801,7.746278004,7.172758404,7.45260136,7.099014393,7.099014393,7.831131176,7.099014393,8.884276971,8.706971739,7.835924348,7.623651723,7.732643242,7.763752863,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.184587605,7.099014393,7.099014393,7.099014393,7.099014393,7.235460254,7.099014393,8.057837185,7.166044856,7.099014393,7.099014393,7.099014393,8.668039184,8.630162622,8.575089395,8.60219754,7.099014393,7.807740313,7.487408882,7.43749175,7.206220078,7.505629396,7.281926651,7.495516193,7.314314888,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,8.451782756,8.749746133
NUP93,7.97115498,7.923286412,7.724224376,7.66047033,8.078832658,7.099014393,7.099014393,7.099014393,7.099014393,7.351013583,7.099014393,7.099014393,7.923884577,8.603747677,7.690102126,7.099014393,7.320494743,8.068655022,7.904733068,7.952704878,7.099014393,7.398779118,7.099014393,7.613792644,7.099014393,8.005038207,7.099014393,7.099014393,8.267625029,7.099014393,7.886979124,7.099014393,7.099014393,7.773472951,7.099014393,7.099014393,7.692303226,7.099014393,8.077283166,7.139586309,8.367343921,7.099014393,7.645621269,8.56130132,7.099014393,8.100998244,7.099014393,8.287223016,8.058355723,7.099014393,7.099014393,7.239293297,7.099014393,7.967921456,7.099014393,7.099014393,7.099014393,7.799375517,7.93474804,8.241825342,7.099014393,7.513477027,7.099014393,7.099014393,7.163449595,7.099014393,7.099014393,8.406602536,7.099014393,7.099014393,7.099014393,8.319549136,7.920082483,7.868788898,7.099014393,7.833431548,7.284501428,7.099014393,7.356190953,7.588022491,7.428788356,7.309995771,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.233371541,7.478030073,7.099014393,7.099014393,7.099014393,7.810900241,7.916602951,7.957300557,7.710318073,7.85287936,7.277815586,7.358965438,7.377699035,7.183351792,7.381987604,7.099014393,8.402010649,7.741918669,7.099014393,7.099014393,7.199882071,7.886107865,8.154343374,7.126069512,7.099014393,7.099014393
CETP,7.099014393,7.120059032,7.099014393,7.099014393,7.099014393,8.506790485,9.013960298,7.099014393,8.189212133,8.836491796,7.099014393,8.692474093,8.453376615,7.653279889,7.099014393,7.099014393,7.183714233,7.519302926,7.099014393,8.161278645,8.486394133,7.472593059,9.005570183,7.099014393,7.099014393,8.743986776,8.74291044,7.920288052,7.897192869,8.558062465,8.316562383,7.971668006,8.086171723,7.099014393,7.099014393,8.482787278,7.099014393,8.504495424,7.381135125,9.058524046,7.099014393,8.530996421,7.099014393,7.099014393,9.055694086,7.099014393,7.196724271,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,8.023762528,8.857735969,8.506566428,7.892006553,8.001384075,7.099014393,7.966394601,7.099014393,7.099014393,8.855881989,7.167160088,7.099014393,8.70825437,7.099014393,8.201877946,7.454235273,8.253249555,7.441918129,7.971661122,7.777416048,7.099014393,7.099014393,7.099014393,7.099014393,8.258088151,7.859357095,7.099014393,7.099014393,7.939080168,7.099014393,8.576388351,8.29923672,8.278287726,8.017224235,7.099014393,7.099014393,7.648977848,8.977443034,7.099014393,7.099014393,7.796423449,7.099014393,8.297223501,8.086337362,8.390742925,7.789432107,8.348737312,8.353829649,8.237318497,8.263413724,8.059099008,8.765984042,7.167955055,7.099014393,8.295231001,8.274064963,7.371172019,7.099014393,7.099014393
CLASRP,7.231356025,7.307864657,7.240464754,7.119320527,7.447174555,7.099014393,7.099014393,7.099014393,7.535448857,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.67737026,7.670105812,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.136767138,8.081996944,7.099014393,7.099014393,7.127565281,7.119658995,7.099014393,7.099014393,7.099014393,7.099014393,7.485717737,7.72074991,7.099014393,7.449434854,7.099014393,7.099014393,7.099014393,7.716191827,7.099014393,7.099014393,7.203720128,7.099014393,7.099014393,7.93924047,7.204098992,7.686911648,7.256597879,7.377897088,7.099014393,7.276007271,7.176650436,7.099014393,7.099014393,7.099014393,7.284791294,7.099014393,7.629342205,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.869939375,7.271759591,7.689619665,7.099014393,7.099014393,7.976945973,7.099014393,7.457044461,7.832614706,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.424526097,7.099014393,7.148319134,7.389506075,7.099014393,7.115971279,7.14344227,7.099014393,7.099014393,7.337183128,7.099014393,7.099014393,7.193003284,7.099014393,7.303892876,7.099014393,7.099014393,7.099014393,7.11926796,7.099014393,7.099014393,7.664581195,7.115976952
DNAJB14,7.209382541,7.625778479,7.863389759,7.876496885,7.70470801,8.002604746,7.350743688,7.301562097,7.099014393,7.471876168,8.797874191,7.099014393,7.099014393,7.726213266,7.178781577,7.099014393,8.034384779,7.937759824,7.187199481,8.145168407,7.829860743,7.572788141,8.614308119,7.099014393,7.099014393,7.099014393,7.099014393,7.996984193,7.830987059,8.144003128,7.938941834,8.128568327,7.756951445,8.252340792,8.331459631,7.586994426,8.509848738,7.212974794,8.024539944,7.822937159,7.636326063,7.147869189,8.758084165,7.11812807,7.099014393,8.585729436,7.161437068,8.129102582,7.536164446,7.229064953,8.781648137,8.391439497,8.205116414,8.284988581,7.720093577,7.099014393,8.24249146,8.084417772,8.106484833,8.15403805,8.207864117,8.200302906,7.099014393,7.099014393,8.054217539,7.099014393,8.555467997,8.250473433,8.33437766,8.285626332,8.387100572,8.224135203,7.992159255,7.995767282,7.610881139,7.099014393,8.390157824,8.49277315,7.884860601,7.870423856,7.929512794,7.099014393,8.269815307,8.059882291,7.535015703,8.296762751,8.109356108,7.900569185,7.743007835,7.099014393,7.099014393,7.777767864,7.757184251,7.441215413,7.907603172,7.851305438,8.27433963,8.15992858,8.103371778,7.671309525,8.137148174,8.008429841,8.218248132,8.178216969,8.169564697,7.099014393,7.099014393,7.525807073,8.150212886,8.161527593,7.970621529,7.209044608,7.975391265
PITPNC1,7.099014393,7.307998063,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.806052665,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.367916578,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.20383587,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.286965001,7.521112071,7.413927255,7.099014393,7.385441781,7.889191603,7.099014393,7.099014393,7.099014393,8.373717375,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.628938549,7.099014393,7.099014393,7.099014393,7.350852795,7.774630996,7.366866256,7.099014393,7.391273119,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,8.014115407,7.099014393,7.099014393,7.099014393,7.258455529,7.099014393,7.468310772,7.099014393,7.099014393,7.471733178,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.274766369,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393
ZEB2,7.833822515,7.261605468,7.645310434,7.569432848,7.641230575,8.377654252,8.291487822,8.374310331,8.503284351,8.544215466,8.879520437,8.594846893,8.559797698,7.966563918,8.621527877,8.586191477,7.959889615,7.978642168,7.74751619,8.141307365,8.678069812,8.453087493,8.664837638,8.232911834,8.478624808,8.50878483,8.717062491,8.487622213,8.105025477,8.50279224,8.437381676,8.428711574,8.531814297,8.25595763,8.146911513,8.412610659,8.653199382,8.32042236,8.714209789,8.602685569,7.993437006,8.538381804,8.509377193,8.214422101,8.954033229,8.447252485,7.262495011,7.943953417,7.649662926,7.579449886,8.512669558,8.539513221,8.14118173,8.310427997,8.530878544,8.337230639,8.351986902,8.174452461,8.390808535,7.952721879,8.440614154,8.004775182,7.337007113,8.644450026,7.912066764,8.220791991,8.437097072,8.151588879,8.555058323,8.248459853,8.438053867,8.170792765,8.285375089,8.301501631,8.181782345,8.46335947,8.364511386,8.390718518,8.465942416,8.214896949,8.114153199,8.143538043,8.664281477,8.619965014,8.628445975,8.606412882,8.614266515,8.519861405,8.432935682,7.347757548,8.363201071,8.273508714,7.237633806,7.221930791,7.667862826,7.570116439,8.425665541,8.380704421,8.412068197,8.419527313,8.391907204,8.073970612,8.55714332,8.263128181,8.399425754,8.659940837,8.697324536,8.570505328,8.370239786,8.43591341,8.806941963,8.604715774,7.627362031
DIABLO,7.570433203,8.090571626,8.003457738,8.118411642,8.010056861,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.201316752,7.099014393,7.33414241,7.099014393,8.717454806,7.17959701,7.099014393,7.247416471,7.834610497,7.760043425,7.099014393,7.099014393,7.144714721,8.302016779,7.374896411,8.333198544,7.099014393,7.744827332,8.325635986,7.704224214,7.099014393,7.801172904,7.099014393,8.032247783,7.192693871,7.099014393,8.621685329,7.099014393,7.099014393,7.189846318,8.061495704,8.419695383,7.099014393,7.537872675,7.099014393,8.327656542,7.865897451,8.117152404,8.010253163,7.474058363,8.470432963,8.391453716,7.099014393,7.820249621,7.099014393,7.099014393,7.502719226,7.532992532,7.390065456,8.11781246,7.099014393,7.343532644,7.099014393,8.403392639,7.780653658,7.099014393,8.339600055,7.673045213,7.099014393,8.037052842,7.099014393,7.099014393,8.022793363,8.377853909,7.368266981,8.138389067,8.185377608,7.099014393,7.840460143,7.517953648,8.300261116,7.69381529,7.202577204,7.934286958,7.099014393,7.099014393,7.456583864,7.099014393,7.159472458,7.099014393,7.243086074,7.099014393,8.033122416,8.081029215,8.149382694,8.099991031,8.326589261,7.846233036,7.099014393,7.327935805,7.506843828,8.164967247,7.099014393,7.2596731,7.29561647,7.099014393,8.439524319,8.551762823,7.099014393,8.181869878,8.598220427,8.448827744,8.169295284
IGKJ5,8.251745955,7.099014393,7.099014393,7.599346949,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,8.580778685,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,8.559718545,8.419417809,8.241032743,7.099014393,7.099014393,8.476246485,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,8.195782987,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,8.604322035,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,8.584718115,7.099014393,7.099014393,7.099014393,8.576165858,8.677583907,8.062851548,7.099014393,7.099014393,7.099014393,7.099014393,8.698118966,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,8.325647323,7.099014393,7.099014393,7.099014393,8.23145104,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.547678551,7.099014393,7.099014393,7.099014393
HERPUD1,8.212949964,8.519566946,8.294784371,8.699409101,8.127115436,8.452326976,7.099014393,8.112626693,7.479888957,7.099014393,7.256427115,7.137773536,8.624090436,7.099014393,7.284325816,8.993785022,8.527033841,8.223778889,8.125300964,7.415734778,7.099014393,7.099014393,8.439995326,8.302881236,7.099014393,7.099014393,7.175292601,8.026739838,7.140142322,7.22916697,7.714877249,8.095181632,8.07137731,8.410683468,8.339484289,8.006967285,7.934732788,7.099014393,8.184763668,9.079550074,7.955132477,7.099014393,7.288769168,8.138770203,7.099014393,7.099014393,8.343213919,7.79834082,7.406215692,8.956760632,8.336643372,7.099014393,8.373978567,7.94776237,7.099014393,7.79467095,8.186614897,8.407993107,8.105497078,8.083660604,8.337871044,8.758728471,7.227665411,7.099014393,8.557304733,7.099014393,8.173747366,7.099014393,7.730749482,7.993486391,8.468281865,7.099014393,7.680431448,8.653689724,8.242307771,7.099014393,7.099014393,8.481868041,8.287977218,8.526663931,8.360519646,8.100172216,7.099014393,8.652150326,7.099014393,7.925731205,7.356946677,7.099014393,7.121641172,7.325048964,9.145604917,7.192506518,7.92555197,8.167721258,8.397287717,8.161839384,8.507638132,8.087794082,8.20355176,8.126326573,7.853924231,7.348109413,8.195762373,8.126720805,8.054180463,7.099014393,7.099014393,7.155801188,8.704540428,8.40179038,7.099014393,8.804905869,8.506798954
